,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,roald,62.5833,6.1333,11.08,93,90,8.75,NO,1632183012
371,berlevag,70.8578,29.0864,5.19,74,24,12.03,NO,1632183012
372,aranjuez,40.0311,-3.6025,15.17,51,72,8.56,ES,1632183013
373,tocopilla,-22.092,-70.1979,16.05,77,99,1.25,CL,1632183013
374,rosetta,31.4044,30.4164,25.71,77,0,3.39,EG,1632183014
375,norman wells,65.282,-126.8329,13.28,48,40,5.55,CA,1632183014
376,red wing,44.5625,-92.5338,17.18,88,90,6.17,US,1632183014
377,vestmannaeyjar,63.4427,-20.2734,9.56,72,100,4.94,IS,1632183015
378,jati,24.3539,68.2671,27.96,78,4,7.77,PK,1632183015
379,sao joao da barra,-21.6403,-41.0511,22.84,86,3,7.94,BR,1632183016
380,ishigaki,24.3448,124.1572,28.8,76,13,4.01,JP,1632183016
381,sola,-13.8833,167.55,25.52,73,89,8.82,VU,1632183017
382,quballat,36.5418,9.6633,21.12,74,88,2.02,TN,1632183017
383,ponta delgada,37.7333,-25.6667,20.4,77,20,2.57,PT,1632183017
384,sirajganj,24.45,89.7167,25.34,92,94,7.98,BD,1632183018
385,san quintin,30.4833,-115.95,22.87,65,1,4.04,MX,1632183018
386,sisimiut,66.9395,-53.6735,0.19,89,99,1.74,GL,1632183019
387,pisco,-13.7,-76.2167,17.03,77,0,7.72,PE,1632183019
388,kloulklubed,7.0419,134.2556,28.28,74,99,1.19,PW,1632183019
389,baoqing,46.3317,132.2111,12.23,96,100,4.71,CN,1632183020
390,mount gambier,-37.8333,140.7667,10.95,59,88,4.52,AU,1632183020
391,leh,34.1667,77.5833,13.14,55,76,2.31,IN,1632183021
392,saint-joseph,-21.3667,55.6167,19.2,77,89,5.65,RE,1632183021
393,bagotville,-28.9833,153.4167,20.01,64,60,3.55,AU,1632183021
394,unidad,8.535,126.2306,26.92,81,54,0.68,PH,1632183022
395,airai,-8.9266,125.4092,21.6,33,88,2.41,TL,1632183022
396,lata,40.1629,-8.3327,16.62,56,0,3.83,PT,1632183022
397,portland,45.5234,-122.6762,23.02,49,20,3.09,US,1632182750
398,conakry,9.538,-13.6773,26.66,83,95,3.5,GN,1632183023
399,tobol,52.6844,62.5794,2.12,69,34,3.16,KZ,1632183023
400,la ronge,55.1001,-105.2842,11.37,63,78,3.41,CA,1632183024
401,bosaso,11.2842,49.1816,31.7,55,1,4.34,SO,1632183025
402,lawrence,38.9717,-95.2353,27.39,88,90,4.12,US,1632182753
403,cervo,43.6702,-7.4101,16.94,81,32,4.73,ES,1632183025
404,nome,64.5011,-165.4064,3.04,65,90,7.2,US,1632183025
405,san patricio,28.017,-97.5169,34.05,63,2,5.96,US,1632183006
406,birao,10.2849,22.7882,21.64,94,34,0.99,CF,1632182918
407,camacupa,-12.0167,17.4833,22.52,42,67,2.16,AO,1632183026
408,padang,-0.9492,100.3543,23.03,87,67,1.46,ID,1632183027
409,lagoa,39.05,-27.9833,20.94,70,2,4.42,PT,1632183027
410,diveyevo,55.0433,43.2418,5.65,85,100,6.44,RU,1632183028
411,starogard gdanski,53.964,18.5264,8.26,82,38,4.13,PL,1632183028
412,paita,-5.0892,-81.1144,18.17,82,15,7.05,PE,1632183028
413,riyadh,24.6877,46.7219,25.08,17,1,3.38,SA,1632182882
414,ambilobe,-13.2,49.05,19.21,77,0,2.45,MG,1632183029
415,beringovskiy,63.05,179.3167,6.16,92,100,2.88,RU,1632183030
416,trinidad,-14.8333,-64.9,31.03,39,44,1.75,BO,1632183030
417,kyrksaeterora,63.2906,9.0891,11.36,90,100,1.85,NO,1632183030
418,shingu,33.7333,135.9833,23.06,83,95,4.59,JP,1632183031
419,waitati,-45.75,170.5667,15.34,56,100,0.83,NZ,1632183031
420,katsuura,35.1333,140.3,22.06,68,78,4.25,JP,1632182954
421,nadym,65.5333,72.5167,2.14,97,100,6.97,RU,1632183032
422,aklavik,68.2191,-135.0107,4.0,73,100,7.43,CA,1632183032
423,port-gentil,-0.7193,8.7815,25.07,85,84,5.61,GA,1632183033
424,mangrol,21.1167,70.1167,26.77,88,78,6.03,IN,1632182951
425,lavrentiya,65.5833,-171.0,2.4,60,17,3.24,RU,1632183033
426,marfino,55.7028,37.3822,6.14,93,90,6.0,RU,1632183034
427,comodoro rivadavia,-45.8667,-67.5,9.92,40,0,3.6,AR,1632183034
428,amapa,1.0,-52.0,22.66,91,96,0.5,BR,1632183034
429,vostok,46.4856,135.8833,8.91,97,100,1.46,RU,1632183035
430,ichinoseki,38.9167,141.1333,21.0,74,26,2.67,JP,1632183035
431,ternate,0.8,127.4,26.81,78,99,1.59,ID,1632183036
432,cayenne,4.9333,-52.3333,25.02,94,0,0.0,GF,1632183036
433,mitzic,0.7821,11.549,19.85,99,48,1.33,GA,1632183036
434,mugur-aksy,50.35,90.5,-0.91,55,0,1.97,RU,1632183037
435,arica,-18.475,-70.3042,15.13,77,90,2.06,CL,1632183037
436,vilyuysk,63.7553,121.6247,2.65,68,92,3.12,RU,1632183038
437,puerto baquerizo moreno,-0.9,-89.6,20.14,81,64,5.93,EC,1632183039
438,yeppoon,-23.1333,150.7333,25.88,50,44,4.98,AU,1632183039
439,palmer,42.1584,-72.3287,18.34,77,20,1.54,US,1632182741
440,tangzhai,34.4328,116.5911,21.49,82,0,5.76,CN,1632183040
441,kelheim,48.9167,11.8667,11.14,71,71,1.76,DE,1632183040
442,lakatoro,-16.0999,167.4164,25.93,66,49,4.16,VU,1632183041
443,marsaxlokk,35.8419,14.5431,25.34,83,0,4.63,MT,1632183041
444,khash,28.2211,61.2158,21.37,17,0,1.13,IR,1632183042
445,huarmey,-10.0681,-78.1522,17.08,83,7,4.41,PE,1632183042
446,turkistan,43.0,68.0,14.35,17,0,2.56,KZ,1632183043
447,tecoanapa,16.5167,-98.75,27.95,75,40,3.18,MX,1632183040
448,pitimbu,-7.4706,-34.8086,23.33,72,39,5.08,BR,1632183044
449,ambon,-3.6954,128.1814,26.08,94,20,0.51,ID,1632183045
450,yulara,-25.2406,130.9889,12.68,36,3,10.85,AU,1632183045
451,siderno,38.2779,16.302,22.97,69,99,4.53,IT,1632183045
452,mogok,22.9167,96.5,17.7,97,92,1.11,MM,1632183046
453,aguimes,27.9054,-15.4461,21.35,64,20,7.2,ES,1632183046
454,saint-pierre,-21.3393,55.4781,18.82,68,75,3.09,RE,1632183047
455,praia da vitoria,38.7333,-27.0667,20.47,80,3,5.52,PT,1632183047
456,tigre,-34.426,-58.5796,15.0,67,40,5.66,AR,1632183048
457,kavaratti,10.5669,72.642,27.43,79,97,5.19,IN,1632183048
458,iskilip,40.7353,34.4739,18.97,45,5,0.87,TR,1632183048
459,pacific grove,36.6177,-121.9166,33.11,36,1,2.57,US,1632183049
460,canico,32.6333,-16.85,22.6,64,40,7.72,PT,1632183049
461,janow lubelski,50.707,22.4104,4.9,77,100,4.99,PL,1632183050
462,huntington,38.4193,-82.4452,24.19,73,40,2.06,US,1632183050
463,aksarka,66.5606,67.7975,2.78,97,99,5.08,RU,1632183051
464,la palma,33.8464,-118.0467,34.73,52,1,2.06,US,1632183051
465,baie-saint-paul,47.4411,-70.4986,12.27,77,2,1.88,CA,1632183051
466,qobustan,40.0824,49.412,22.06,69,9,3.82,AZ,1632183052
467,hammerfest,70.6634,23.6821,6.25,65,0,8.23,NO,1632183052
468,luderitz,-26.6481,15.1594,14.76,61,0,7.69,NA,1632183052
469,cabedelo,-6.9811,-34.8339,23.37,74,20,5.68,BR,1632183025
470,homer,59.6425,-151.5483,12.94,54,90,4.12,US,1632183053
471,jeronimo monteiro,-20.7894,-41.395,20.98,87,5,0.63,BR,1632183054
472,kaeo,-35.1,173.7833,16.57,63,5,3.31,NZ,1632183054
473,valdosta,30.8327,-83.2785,26.95,86,90,2.06,US,1632183055
474,olga,43.7444,135.2892,15.0,85,100,1.06,RU,1632183055
475,alamosa,37.4695,-105.87,22.99,16,1,9.26,US,1632183056
476,little current,45.9793,-81.9248,21.05,75,100,5.43,CA,1632183056
477,russkaya polyana,49.417,31.9201,8.46,90,100,5.28,UA,1632183057
478,hofn,64.2539,-15.2082,9.6,66,66,4.94,IS,1632183057
479,farnham,51.2143,-0.7959,14.58,93,43,1.54,GB,1632183057
480,linkuva,56.0856,23.9725,5.37,96,100,4.33,LT,1632183058
481,stornoway,58.2093,-6.3865,11.98,82,75,3.6,GB,1632183058
482,laredo,27.5064,-99.5075,39.14,26,20,6.69,US,1632182954
483,san carlos de bariloche,-41.1456,-71.3082,5.86,45,0,1.54,AR,1632182917
484,kang,-23.6752,22.7876,14.96,22,2,7.07,BW,1632183059
485,pathein,16.7833,94.7333,25.18,90,100,2.27,MM,1632183060
486,puerto del rosario,28.5004,-13.8627,22.86,73,7,4.63,ES,1632183060
487,zhezkazgan,47.8043,67.7144,5.72,49,3,4.12,KZ,1632183061
488,orneta,54.1148,20.1333,4.87,87,9,1.99,PL,1632183061
489,nuuk,64.1835,-51.7216,1.34,75,75,2.06,GL,1632183061
490,manokwari,-0.8667,134.0833,27.44,73,100,2.44,ID,1632183062
491,zabol,32.25,67.25,17.46,17,0,2.28,AF,1632183062
492,kampong thum,12.7111,104.8887,24.08,95,97,2.02,KH,1632183063
493,castro,-24.7911,-50.0119,22.15,52,50,1.22,BR,1632183063
494,ardakan,32.31,54.0175,25.48,14,16,4.07,IR,1632183064
495,sur,22.5667,59.5289,28.97,67,3,4.0,OM,1632183064
496,okhotsk,59.3833,143.3,8.03,69,100,3.07,RU,1632183065
497,hun,29.1268,15.9477,29.54,20,2,3.63,LY,1632183065
498,rovaniemi,66.5,25.7167,3.67,81,90,2.57,FI,1632183066
499,sao paulo de olivenca,-3.3783,-68.8725,25.36,82,88,0.89,BR,1632183066
500,mancio lima,-7.6142,-72.8958,23.47,84,65,0.81,BR,1632183066
501,dongkan,33.9997,119.8308,21.78,83,0,5.8,CN,1632183067
502,san ramon de la nueva oran,-23.1322,-64.326,23.08,52,100,2.49,AR,1632183067
503,necochea,-38.5473,-58.7368,8.32,81,0,4.85,AR,1632183068
504,conceicao do araguaia,-8.2578,-49.2647,32.38,19,98,1.29,BR,1632182972
505,nkhata bay,-11.6066,34.2907,21.53,64,0,1.83,MW,1632183068
506,oistins,13.0667,-59.5333,28.05,74,40,5.14,BB,1632183069
507,eirunepe,-6.6603,-69.8736,25.14,79,78,0.25,BR,1632183069
508,pleasanton,37.6624,-121.8747,32.35,16,1,5.66,US,1632183006
509,flinders,-34.5833,150.8552,12.85,46,94,7.68,AU,1632183070
510,idrinskoye,54.3708,92.1358,4.58,72,86,3.14,RU,1632183070
511,pandan,14.0453,124.1694,28.33,77,94,2.72,PH,1632183071
512,svetlogorsk,52.6333,29.7333,4.46,96,100,4.59,BY,1632183071
513,hervey bay,-25.2986,152.8535,25.06,47,22,4.83,AU,1632183072
514,namibe,-15.1961,12.1522,16.38,85,9,1.96,AO,1632183072
515,ixtapa,20.7,-105.2,29.57,70,90,3.09,MX,1632183073
516,sant feliu de guixols,41.7833,3.0333,14.73,82,99,2.93,ES,1632183073
517,zhigansk,66.7697,123.3711,1.86,70,100,2.58,RU,1632183073
518,alekseyevsk,57.8406,108.3492,9.26,85,72,3.43,RU,1632183074
519,basco,20.4487,121.9702,28.98,77,70,4.91,PH,1632183074
520,hirado,33.3597,129.5531,25.03,86,14,8.4,JP,1632183075
521,devgarh,25.5333,73.9,23.28,86,57,3.56,IN,1632183075
522,milove,49.3787,40.1302,11.9,67,83,2.97,UA,1632183076
523,tilichiki,60.4667,166.1,8.04,87,100,4.34,RU,1632183076
524,kurilsk,45.2333,147.8833,14.86,59,94,2.56,RU,1632183076
525,khani,41.9563,42.9566,11.76,77,4,2.76,GE,1632183077
526,sambava,-14.2667,50.1667,21.42,76,93,4.86,MG,1632183077
527,margate,51.3813,1.3862,12.92,84,5,3.74,GB,1632183078
528,vila velha,-20.3297,-40.2925,22.77,84,8,3.74,BR,1632183078
529,poum,-20.2333,164.0167,22.63,63,81,8.4,NC,1632183079
530,flin flon,54.7682,-101.865,11.92,46,57,4.64,CA,1632183079
531,sandnessjoen,66.0217,12.6316,9.99,68,100,11.29,NO,1632183080
532,kihei,20.785,-156.4656,31.01,45,40,12.86,US,1632183080
533,shebalino,51.2917,85.6772,0.26,65,66,2.51,RU,1632183080
534,carmelo,-33.9892,-58.2856,14.97,77,94,8.52,UY,1632183081
535,camacha,33.0833,-16.3333,20.68,64,40,6.17,PT,1632183081
536,mana,5.6592,-53.7767,26.4,84,50,4.23,GF,1632183082
537,bordighera,43.7806,7.6645,18.97,63,28,3.04,IT,1632183082
538,tuatapere,-46.1333,167.6833,8.43,92,100,1.99,NZ,1632183082
539,havoysund,70.9963,24.6622,6.49,65,4,9.73,NO,1632183083
540,jiexiu,37.0244,111.9125,18.73,57,0,3.19,CN,1632183083
541,sioux lookout,50.1001,-91.917,11.21,96,100,4.91,CA,1632183084
542,hami,42.8,93.45,22.7,29,100,3.05,CN,1632183084
543,sabang,5.8933,95.3214,27.87,76,94,8.5,ID,1632183085
544,albury,-36.0833,146.9167,9.95,69,89,2.94,AU,1632183085
545,alice,27.7523,-98.0697,32.76,66,1,6.17,US,1632183085
546,mazatlan,23.2167,-106.4167,29.98,70,40,3.09,MX,1632183086
547,bilibino,68.0546,166.4372,-4.18,70,78,2.0,RU,1632183086
548,ciudad bolivar,8.1222,-63.5497,27.71,72,100,2.76,VE,1632183087
549,yaan,7.3833,8.5667,23.72,92,99,2.13,NG,1632183087
550,shasta lake,40.6804,-122.3708,33.4,11,0,5.16,US,1632183088
551,gayny,60.3071,54.3241,-1.92,96,13,1.35,RU,1632183088
552,celestun,20.8667,-90.4,28.46,78,8,7.06,MX,1632183088
